acoustic_data,time_to_failure
9,1.4690991725
5,1.4690991714
2,1.4690991703
3,1.4690991692
-2,1.4690991681
-4,1.469099167
-2,1.4690991659
2,1.4690991648
2,1.4690991637
7,1.4690991626
1,1.4690991615
5,1.4690991604
10,1.4690991593
10,1.4690991582
10,1.4690991571
10,1.469099156
10,1.4690991549
5,1.4690991538
4,1.4690991527
4,1.4690991516
0,1.4690991505
2,1.4690991494
5,1.4690991483
8,1.4690991472
7,1.4690991461
5,1.469099145
4,1.4690991439
1,1.4690991428
6,1.4690991417
4,1.4690991406
5,1.4690991395
8,1.4690991384
6,1.4690991373
3,1.4690991362
2,1.4690991351
3,1.469099134
0,1.4690991329
0,1.4690991318
2,1.4690991307
1,1.4690991296
2,1.4690991285
5,1.4690991274
7,1.4690991263
8,1.4690991252
8,1.4690991241
8,1.469099123
5,1.4690991219
13,1.4690991208
7,1.4690991197
5,1.4690991186
10,1.4690991175
3,1.4690991164
7,1.4690991153
10,1.4690991142
9,1.4690991131
7,1.469099112
6,1.4690991109
4,1.4690991098
2,1.4690991087
2,1.4690991076
5,1.4690991065
5,1.4690991054
7,1.4690991043
11,1.4690991032
11,1.4690991021
8,1.469099101
7,1.4690990999
5,1.4690990988
7,1.4690990977
7,1.4690990966
5,1.4690990955
7,1.4690990944
7,1.4690990933
7,1.4690990922
6,1.4690990911
3,1.46909909
4,1.4690990889
2,1.4690990878
1,1.4690990867
5,1.4690990856
6,1.4690990845
9,1.4690990834
6,1.4690990823
4,1.4690990812
5,1.4690990801
5,1.469099079
3,1.4690990779
5,1.4690990768
1,1.4690990757
3,1.4690990746
4,1.4690990735
7,1.4690990724
5,1.4690990713
6,1.4690990702
3,1.4690990691
10,1.469099068
9,1.4690990669
8,1.4690990658
9,1.4690990647
8,1.4690990636
5,1.4690990625
7,1.4690990614
2,1.4690990603
10,1.4690990592
15,1.4690990581
11,1.469099057
4,1.4690990559
3,1.4690990548
0,1.4690990537
3,1.4690990526
2,1.4690990515
3,1.4690990504
4,1.4690990493
1,1.4690990482
3,1.4690990471
1,1.469099046
4,1.4690990449
7,1.4690990438
7,1.4690990427
7,1.4690990416
10,1.4690990405
6,1.4690990394
7,1.4690990383
6,1.4690990372
7,1.4690990361
9,1.469099035
6,1.4690990339
0,1.4690990328
0,1.4690990317
0,1.4690990306
2,1.4690990295
4,1.4690990284
3,1.4690990273
3,1.4690990262
4,1.4690990251
10,1.469099024
10,1.4690990229
7,1.4690990218
12,1.4690990207
9,1.4690990196
3,1.4690990185
5,1.4690990174
6,1.4690990163
2,1.4690990152
3,1.4690990141
9,1.469099013
5,1.4690990119
2,1.4690990108
4,1.4690990097
4,1.4690990086
3,1.4690990075
-4,1.4690990064
2,1.4690990053
3,1.4690990042
5,1.4690990031
3,1.469099002
3,1.4690990009
4,1.4690989998
6,1.4690989987
9,1.4690989976
8,1.4690989965
11,1.4690989954
15,1.4690989943
11,1.4690989932
12,1.4690989921
7,1.469098991
8,1.4690989899
7,1.4690989888
0,1.4690989877
0,1.4690989866
-2,1.4690989855
-6,1.4690989844
-7,1.4690989833
-7,1.4690989822
-4,1.4690989811
-2,1.46909898
5,1.4690989789
9,1.4690989778
19,1.4690989767
24,1.4690989756
27,1.4690989745
27,1.4690989734
21,1.4690989723
19,1.4690989712
14,1.4690989701
3,1.469098969
-7,1.4690989679
-8,1.4690989668
-11,1.4690989657
-12,1.4690989646
-11,1.4690989635
-7,1.4690989624
0,1.4690989613
12,1.4690989602
12,1.4690989591
18,1.469098958
25,1.4690989569
26,1.4690989558
21,1.4690989547
13,1.4690989536
6,1.4690989525
-2,1.4690989514
-14,1.4690989503
-22,1.4690989492
-26,1.4690989481
-24,1.469098947
-20,1.4690989459
-15,1.4690989448
-1,1.4690989437
8,1.4690989426
12,1.4690989415
23,1.4690989404
28,1.4690989393
31,1.4690989382
26,1.4690989371
19,1.469098936
11,1.4690989349
8,1.4690989338
5,1.4690989327
2,1.4690989316
-7,1.4690989305
-9,1.4690989294
-1,1.4690989283
-2,1.4690989272
6,1.4690989261
6,1.469098925
6,1.4690989239
11,1.4690989228
13,1.4690989217
16,1.4690989206
14,1.4690989195
12,1.4690989184
11,1.4690989173
9,1.4690989162
4,1.4690989151
7,1.469098914
8,1.4690989129
3,1.4690989118
2,1.4690989107
3,1.4690989096
3,1.4690989085
4,1.4690989074
2,1.4690989063
3,1.4690989052
-4,1.4690989041
1,1.469098903
-2,1.4690989019
-1,1.4690989008
3,1.4690988997
5,1.4690988986
6,1.4690988975
5,1.4690988964
6,1.4690988953
3,1.4690988942
5,1.4690988931
6,1.469098892
6,1.4690988909
7,1.4690988898
8,1.4690988887
9,1.4690988876
7,1.4690988865
8,1.4690988854
5,1.4690988843
6,1.4690988832
13,1.4690988821
12,1.469098881
9,1.4690988799
10,1.4690988788
8,1.4690988777
8,1.4690988766
8,1.4690988755
4,1.4690988744
1,1.4690988733
4,1.4690988722
5,1.4690988711
9,1.46909887
11,1.4690988689
5,1.4690988678
3,1.4690988667
7,1.4690988656
8,1.4690988645
7,1.4690988634
7,1.4690988623
5,1.4690988612
6,1.4690988601
1,1.469098859
3,1.4690988579
8,1.4690988568
6,1.4690988557
0,1.4690988546
0,1.4690988535
-3,1.4690988524
1,1.4690988513
3,1.4690988502
0,1.4690988491
3,1.469098848
2,1.4690988469
7,1.4690988458
7,1.4690988447
7,1.4690988436
9,1.4690988425
6,1.4690988414
11,1.4690988403
8,1.4690988392
13,1.4690988381
9,1.469098837
8,1.4690988359
2,1.4690988348
1,1.4690988337
1,1.4690988326
-4,1.4690988315
-1,1.4690988304
4,1.4690988293
6,1.4690988282
10,1.4690988271
13,1.469098826
11,1.4690988249
12,1.4690988238
7,1.4690988227
3,1.4690988216
-1,1.4690988205
-4,1.4690988194
-5,1.4690988183
-4,1.4690988172
3,1.4690988161
6,1.469098815
7,1.4690988139
5,1.4690988128
15,1.4690988117
17,1.4690988106
14,1.4690988095
10,1.4690988084
12,1.4690988073
10,1.4690988062
7,1.4690988051
5,1.469098804
-1,1.4690988029
-5,1.4690988018
-3,1.4690988007
-1,1.4690987996
4,1.4690987985
7,1.4690987974
11,1.4690987963
6,1.4690987952
7,1.4690987941
7,1.469098793
7,1.4690987919
10,1.4690987908
2,1.4690987897
-2,1.4690987886
1,1.4690987875
-1,1.4690987864
-1,1.4690987853
1,1.4690987842
1,1.4690987831
3,1.469098782
0,1.4690987809
7,1.4690987798
15,1.4690987787
14,1.4690987776
14,1.4690987765
20,1.4690987754
17,1.4690987743
12,1.4690987732
10,1.4690987721
4,1.469098771
-3,1.4690987699
-1,1.4690987688
-3,1.4690987677
-3,1.4690987666
-3,1.4690987655
-6,1.4690987644
-5,1.4690987633
3,1.4690987622
4,1.4690987611
8,1.46909876
9,1.4690987589
11,1.4690987578
10,1.4690987567
5,1.4690987556
7,1.4690987545
9,1.4690987534
6,1.4690987523
11,1.4690987512
10,1.4690987501
6,1.469098749
9,1.4690987479
8,1.4690987468
4,1.4690987457
7,1.4690987446
4,1.4690987435
5,1.4690987424
2,1.4690987413
-1,1.4690987402
-3,1.4690987391
4,1.469098738
5,1.4690987369
-1,1.4690987358
1,1.4690987347
4,1.4690987336
4,1.4690987325
8,1.4690987314
13,1.4690987303
16,1.4690987292
8,1.4690987281
7,1.469098727
9,1.4690987259
6,1.4690987248
4,1.4690987237
2,1.4690987226
0,1.4690987215
-5,1.4690987204
0,1.4690987193
1,1.4690987182
1,1.4690987171
-2,1.469098716
0,1.4690987149
1,1.4690987138
1,1.4690987127
1,1.4690987116
8,1.4690987105
13,1.4690987094
11,1.4690987083
12,1.4690987072
13,1.4690987061
9,1.469098705
7,1.4690987039
7,1.4690987028
11,1.4690987017
6,1.4690987006
7,1.4690986995
4,1.4690986984
9,1.4690986973
12,1.4690986962
13,1.4690986951
7,1.469098694
9,1.4690986929
6,1.4690986918
6,1.4690986907
6,1.4690986896
1,1.4690986885
-3,1.4690986874
-6,1.4690986863
-5,1.4690986852
-9,1.4690986841
-7,1.469098683
-2,1.4690986819
4,1.4690986808
10,1.4690986797
12,1.4690986786
18,1.4690986775
20,1.4690986764
18,1.4690986753
17,1.4690986742
14,1.4690986731
13,1.469098672
7,1.4690986709
7,1.4690986698
3,1.4690986687
3,1.4690986676
8,1.4690986665
4,1.4690986654
2,1.4690986643
9,1.4690986632
12,1.4690986621
7,1.469098661
4,1.4690986599
5,1.4690986588
6,1.4690986577
1,1.4690986566
-1,1.4690986555
-5,1.4690986544
-6,1.4690986533
-1,1.4690986522
3,1.4690986511
7,1.46909865
8,1.4690986489
5,1.4690986478
4,1.4690986467
11,1.4690986456
13,1.4690986445
11,1.4690986434
8,1.4690986423
6,1.4690986412
9,1.4690986401
6,1.469098639
0,1.4690986379
0,1.4690986368
-1,1.4690986357
0,1.4690986346
1,1.4690986335
6,1.4690986324
-1,1.4690986313
-3,1.4690986302
1,1.4690986291
8,1.469098628
12,1.4690986269
10,1.4690986258
10,1.4690986247
11,1.4690986236
10,1.4690986225
6,1.4690986214
6,1.4690986203
12,1.4690986192
-1,1.4690986181
-4,1.469098617
-3,1.4690986159
2,1.4690986148
2,1.4690986137
-5,1.4690986126
-8,1.4690986115
-1,1.4690986104
2,1.4690986093
7,1.4690986082
1,1.4690986071
0,1.469098606
2,1.4690986049
4,1.4690986038
0,1.4690986027
1,1.4690986016
5,1.4690986005
4,1.4690985994
8,1.4690985983
3,1.4690985972
7,1.4690985961
12,1.469098595
12,1.4690985939
5,1.4690985928
6,1.4690985917
7,1.4690985906
9,1.4690985895
11,1.4690985884
7,1.4690985873
13,1.4690985862
24,1.4690985851
23,1.469098584
27,1.4690985829
31,1.4690985818
25,1.4690985807
23,1.4690985796
25,1.4690985785
21,1.4690985774
12,1.4690985763
9,1.4690985752
4,1.4690985741
-7,1.469098573
-11,1.4690985719
-10,1.4690985708
-6,1.4690985697
-4,1.4690985686
-2,1.4690985675
3,1.4690985664
6,1.4690985653
6,1.4690985642
9,1.4690985631
11,1.469098562
10,1.4690985609
7,1.4690985598
6,1.4690985587
6,1.4690985576
1,1.4690985565
6,1.4690985554
7,1.4690985543
3,1.4690985532
5,1.4690985521
5,1.469098551
4,1.4690985499
4,1.4690985488
2,1.4690985477
-3,1.4690985466
-1,1.4690985455
-11,1.4690985444
-12,1.4690985433
-12,1.4690985422
-17,1.4690985411
-12,1.46909854
-5,1.4690985389
-5,1.4690985378
6,1.4690985367
15,1.4690985356
15,1.4690985345
19,1.4690985334
17,1.4690985323
14,1.4690985312
10,1.4690985301
20,1.469098529
16,1.4690985279
13,1.4690985268
14,1.4690985257
7,1.4690985246
3,1.4690985235
-3,1.4690985224
-2,1.4690985213
3,1.4690985202
-1,1.4690985191
-1,1.469098518
4,1.4690985169
5,1.4690985158
5,1.4690985147
4,1.4690985136
4,1.4690985125
3,1.4690985114
-4,1.4690985103
-2,1.4690985092
5,1.4690985081
4,1.469098507
8,1.4690985059
6,1.4690985048
3,1.4690985037
12,1.4690985026
15,1.4690985015
18,1.4690985004
15,1.4690984993
12,1.4690984982
10,1.4690984971
11,1.469098496
3,1.4690984949
6,1.4690984938
10,1.4690984927
16,1.4690984916
11,1.4690984905
12,1.4690984894
17,1.4690984883
11,1.4690984872
13,1.4690984861
14,1.469098485
10,1.4690984839
8,1.4690984828
2,1.4690984817
9,1.4690984806
6,1.4690984795
1,1.4690984784
6,1.4690984773
6,1.4690984762
10,1.4690984751
7,1.469098474
2,1.4690984729
2,1.4690984718
4,1.4690984707
0,1.4690984696
3,1.4690984685
6,1.4690984674
0,1.4690984663
1,1.4690984652
4,1.4690984641
1,1.469098463
0,1.4690984619
-4,1.4690984608
-2,1.4690984597
2,1.4690984586
-1,1.4690984575
-5,1.4690984564
-5,1.4690984553
-1,1.4690984542
-1,1.4690984531
-5,1.469098452
-5,1.4690984509
-2,1.4690984498
-4,1.4690984487
0,1.4690984476
-1,1.4690984465
-2,1.4690984454
-3,1.4690984443
-3,1.4690984432
2,1.4690984421
5,1.469098441
2,1.4690984399
18,1.4690984388
20,1.4690984377
23,1.4690984366
24,1.4690984355
20,1.4690984344
18,1.4690984333
18,1.4690984322
16,1.4690984311
13,1.46909843
12,1.4690984289
10,1.4690984278
7,1.4690984267
8,1.4690984256
8,1.4690984245
6,1.4690984234
6,1.4690984223
8,1.4690984212
12,1.4690984201
10,1.469098419
13,1.4690984179
14,1.4690984168
13,1.4690984157
11,1.4690984146
9,1.4690984135
9,1.4690984124
6,1.4690984113
6,1.4690984102
1,1.4690984091
-3,1.469098408
-4,1.4690984069
-10,1.4690984058
-11,1.4690984047
-9,1.4690984036
-5,1.4690984025
-4,1.4690984014
-4,1.4690984003
-4,1.4690983992
3,1.4690983981
4,1.469098397
2,1.4690983959
7,1.4690983948
6,1.4690983937
11,1.4690983926
10,1.4690983915
4,1.4690983904
3,1.4690983893
10,1.4690983882
8,1.4690983871
8,1.469098386
6,1.4690983849
9,1.4690983838
12,1.4690983827
12,1.4690983816
5,1.4690983805
1,1.4690983794
-3,1.4690983783
-2,1.4690983772
-2,1.4690983761
0,1.469098375
2,1.4690983739
4,1.4690983728
1,1.4690983717
1,1.4690983706
5,1.4690983695
12,1.4690983684
14,1.4690983673
11,1.4690983662
9,1.4690983651
9,1.469098364
7,1.4690983629
6,1.4690983618
-2,1.4690983607
-2,1.4690983596
0,1.4690983585
0,1.4690983574
-4,1.4690983563
-4,1.4690983552
-1,1.4690983541
5,1.469098353
9,1.4690983519
15,1.4690983508
14,1.4690983497
15,1.4690983486
18,1.4690983475
18,1.4690983464
17,1.4690983453
15,1.4690983442
7,1.4690983431
-2,1.469098342
0,1.4690983409
4,1.4690983398
3,1.4690983387
-2,1.4690983376
1,1.4690983365
4,1.4690983354
0,1.4690983343
5,1.4690983332
8,1.4690983321
8,1.469098331
14,1.4690983299
13,1.4690983288
9,1.4690983277
9,1.4690983266
12,1.4690983255
10,1.4690983244
8,1.4690983233
10,1.4690983222
11,1.4690983211
8,1.46909832
4,1.4690983189
4,1.4690983178
4,1.4690983167
5,1.4690983156
4,1.4690983145
7,1.4690983134
5,1.4690983123
5,1.4690983112
4,1.4690983101
7,1.469098309
7,1.4690983079
0,1.4690983068
-1,1.4690983057
-1,1.4690983046
-4,1.4690983035
-5,1.4690983024
-2,1.4690983013
-1,1.4690983002
2,1.4690982991
-1,1.469098298
1,1.4690982969
1,1.4690982958
1,1.4690982947
0,1.4690982936
-2,1.4690982925
3,1.4690982914
0,1.4690982903
9,1.4690982892
12,1.4690982881
3,1.469098287
3,1.4690982859
4,1.4690982848
0,1.4690982837
3,1.4690982826
3,1.4690982815
9,1.4690982804
9,1.4690982793
